state,county,subtype,category
alabama, ,milk,state_by_farmsize
alaska, ,beef,state_by_farmsize
alaska, ,milk,state_by_farmsize
alaska, ,other,state_by_farmsize
alaska, ,all,state_by_farmsize
arizona, ,milk,state_by_farmsize
arkansas, ,milk,state_by_farmsize
connecticut, ,beef,state_by_farmsize
delaware, ,beef,state_by_farmsize
delaware, ,other,state_by_farmsize
delaware, ,milk,state_by_farmsize
delaware, ,all,state_by_farmsize
florida, ,milk,state_by_farmsize
hawaii, ,milk,state_by_farmsize
indiana, ,beef,state_by_farmsize
maine, ,beef,state_by_farmsize
maryland, ,beef,state_by_farmsize
massachusetts, ,beef,state_by_farmsize
massachusetts, ,milk,state_by_farmsize
massachusetts, ,other,state_by_farmsize
massachusetts, ,all,state_by_farmsize
mississippi, ,milk,state_by_farmsize
montana, ,milk,state_by_farmsize
nevada, ,milk,state_by_farmsize
new hampshire, ,other,state_by_farmsize
new jersey, ,other,state_by_farmsize
new jersey, ,milk,state_by_farmsize
new jersey, ,all,state_by_farmsize
pennsylvania, ,beef,state_by_farmsize
rhode island, ,milk,state_by_farmsize
rhode island, ,all,state_by_farmsize
south carolina, ,milk,state_by_farmsize
south dakota, ,milk,state_by_farmsize
vermont, ,beef,state_by_farmsize
west virginia, ,milk,state_by_farmsize
wyoming, ,milk,state_by_farmsize
alabama,autauga,other,county_by_farmsize
alabama,barbour,other,county_by_farmsize
alabama,barbour,milk,county_by_farmsize
alabama,barbour,beef,county_by_farmsize
alabama,bibb,milk,county_by_farmsize
alabama,bibb,other,county_by_farmsize
alabama,bibb,all,county_by_farmsize
alabama,bibb,beef,county_by_farmsize
alabama,blount,milk,county_by_farmsize
alabama,blount,all,county_by_farmsize
alabama,blount,beef,county_by_farmsize
alabama,blount,other,county_by_farmsize
alabama,butler,beef,county_by_farmsize
alabama,calhoun,all,county_by_farmsize
alabama,chambers,milk,county_by_farmsize
alabama,cherokee,beef,county_by_farmsize
alabama,cherokee,other,county_by_farmsize
alabama,cherokee,all,county_by_farmsize
alabama,chilton,other,county_by_farmsize
alabama,clarke,other,county_by_farmsize
alabama,clarke,milk,county_by_farmsize
alabama,clarke,beef,county_by_farmsize
alabama,cleburne,other,county_by_farmsize
alabama,cleburne,all,county_by_farmsize
alabama,colbert,beef,county_by_farmsize
alabama,colbert,all,county_by_farmsize
alabama,colbert,other,county_by_farmsize
alabama,coosa,milk,county_by_farmsize
alabama,coosa,beef,county_by_farmsize
alabama,covington,other,county_by_farmsize
alabama,crenshaw,beef,county_by_farmsize
alabama,crenshaw,milk,county_by_farmsize
alabama,cullman,beef,county_by_farmsize
alabama,cullman,milk,county_by_farmsize
alabama,cullman,other,county_by_farmsize
alabama,dale,beef,county_by_farmsize
alabama,dale,other,county_by_farmsize
alabama,de kalb,beef,county_by_farmsize
alabama,de kalb,other,county_by_farmsize
alabama,elmore,all,county_by_farmsize
alabama,elmore,other,county_by_farmsize
alabama,elmore,milk,county_by_farmsize
alabama,elmore,beef,county_by_farmsize
alabama,escambia,beef,county_by_farmsize
alabama,escambia,other,county_by_farmsize
alabama,etowah,all,county_by_farmsize
alabama,etowah,other,county_by_farmsize
alabama,fayette,beef,county_by_farmsize
alabama,fayette,milk,county_by_farmsize
alabama,geneva,other,county_by_farmsize
alabama,geneva,milk,county_by_farmsize
alabama,geneva,beef,county_by_farmsize
alabama,greene,all,county_by_farmsize
alabama,greene,other,county_by_farmsize
alabama,hale,milk,county_by_farmsize
alabama,hale,beef,county_by_farmsize
alabama,houston,milk,county_by_farmsize
alabama,houston,beef,county_by_farmsize
alabama,jackson,milk,county_by_farmsize
alabama,jackson,other,county_by_farmsize
alabama,jackson,beef,county_by_farmsize
alabama,jefferson,other,county_by_farmsize
alabama,jefferson,beef,county_by_farmsize
alabama,lamar,milk,county_by_farmsize
alabama,lamar,other,county_by_farmsize
alabama,lamar,beef,county_by_farmsize
alabama,lauderdale,beef,county_by_farmsize
alabama,lauderdale,other,county_by_farmsize
alabama,lawrence,beef,county_by_farmsize
alabama,lawrence,all,county_by_farmsize
alabama,lee,all,county_by_farmsize
alabama,lee,milk,county_by_farmsize
alabama,lee,other,county_by_farmsize
alabama,lee,beef,county_by_farmsize
alabama,limestone,beef,county_by_farmsize
alabama,macon,milk,county_by_farmsize
alabama,macon,all,county_by_farmsize
alabama,macon,beef,county_by_farmsize
alabama,macon,other,county_by_farmsize
alabama,madison,other,county_by_farmsize
alabama,madison,milk,county_by_farmsize
alabama,madison,beef,county_by_farmsize
alabama,marengo,beef,county_by_farmsize
alabama,marion,all,county_by_farmsize
alabama,marion,beef,county_by_farmsize
alabama,marion,other,county_by_farmsize
alabama,mobile,milk,county_by_farmsize
alabama,mobile,beef,county_by_farmsize
alabama,monroe,milk,county_by_farmsize
alabama,monroe,other,county_by_farmsize
alabama,monroe,beef,county_by_farmsize
alabama,perry,beef,county_by_farmsize
alabama,perry,milk,county_by_farmsize
alabama,perry,other,county_by_farmsize
alabama,pickens,other,county_by_farmsize
alabama,pickens,milk,county_by_farmsize
alabama,pickens,beef,county_by_farmsize
alabama,randolph,milk,county_by_farmsize
alabama,randolph,beef,county_by_farmsize
alabama,russell,milk,county_by_farmsize
alabama,russell,other,county_by_farmsize
alabama,russell,beef,county_by_farmsize
alabama,shelby,other,county_by_farmsize
alabama,shelby,milk,county_by_farmsize
alabama,shelby,beef,county_by_farmsize
alabama,sumter,other,county_by_farmsize
alabama,talladega,all,county_by_farmsize
alabama,talladega,beef,county_by_farmsize
alabama,talladega,other,county_by_farmsize
alabama,talladega,milk,county_by_farmsize
alabama,tallapoosa,other,county_by_farmsize
alabama,tallapoosa,all,county_by_farmsize
alabama,tuscaloosa,other,county_by_farmsize
alabama,walker,beef,county_by_farmsize
alabama,walker,other,county_by_farmsize
alabama,washington,beef,county_by_farmsize
alabama,washington,other,county_by_farmsize
alabama,washington,milk,county_by_farmsize
alabama,wilcox,beef,county_by_farmsize
alabama,winston,milk,county_by_farmsize
alabama,winston,beef,county_by_farmsize
alabama,winston,other,county_by_farmsize
alabama,winston,all,county_by_farmsize
