county_by_farmsize,county_by_farmsize_heads,livestock,state,status,subtype,iterations
True,True,cattle,1,ignored,all,
True,True,cattle,1,ipf,beef,29.0
True,True,cattle,1,ipf,milk,21.0
True,True,cattle,1,ipf,other,40.0
False,,chukars,1,,all,
False,,chukars,1,,dummy,
False,,ckn-broilers,1,,all,
False,,ckn-broilers,1,,dummy,
True,False,ckn-layers,1,,all,
True,False,ckn-layers,1,,dummy,
False,,ckn-pullets,1,,all,
False,,ckn-pullets,1,,dummy,
False,,ckn-roosters,1,,all,
False,,ckn-roosters,1,,dummy,
False,,ducks,1,,all,
False,,ducks,1,,dummy,
False,,emus,1,,all,
False,,emus,1,,dummy,
False,,geese,1,,all,
False,,geese,1,,dummy,
False,,guineas,1,,all,
False,,guineas,1,,dummy,
True,True,hogs,1,ignored,all,
True,True,hogs,1,ipf,dummy,178.0
False,,ostriches,1,,all,
False,,ostriches,1,,dummy,
False,,peafowl,1,,all,
False,,peafowl,1,,dummy,
False,,pheasants,1,,all,
False,,pheasants,1,,dummy,
False,,pigeons,1,,all,
False,,pigeons,1,,dummy,
False,,poultry-other,1,,all,
False,,poultry-other,1,,dummy,
False,,quail,1,,all,
False,,quail,1,,dummy,
False,,rheas,1,,all,
False,,rheas,1,,dummy,
True,True,sheep,1,ignored,all,
True,True,sheep,1,ipf,dummy,65.0
False,,turkeys,1,,all,
False,,turkeys,1,,dummy,
True,True,cattle,2,ignored,all,
True,True,cattle,2,ipf,beef,80.0
True,True,cattle,2,ipf,milk,1.0
True,True,cattle,2,ipf,other,78.0
False,,chukars,2,,all,
False,,chukars,2,,dummy,
False,,ckn-broilers,2,,all,
False,,ckn-broilers,2,,dummy,
True,False,ckn-layers,2,,all,
True,False,ckn-layers,2,,dummy,
False,,ckn-pullets,2,,all,
False,,ckn-pullets,2,,dummy,
False,,ckn-roosters,2,,all,
False,,ckn-roosters,2,,dummy,
False,,ducks,2,,all,
False,,ducks,2,,dummy,
False,,emus,2,,all,
False,,emus,2,,dummy,
False,,geese,2,,all,
False,,geese,2,,dummy,
False,,guineas,2,,all,
False,,guineas,2,,dummy,
True,True,hogs,2,ignored,all,
True,True,hogs,2,ipf,dummy,29.0
False,,peafowl,2,,all,
False,,peafowl,2,,dummy,
False,,pheasants,2,,all,
False,,pheasants,2,,dummy,
False,,pigeons,2,,all,
False,,pigeons,2,,dummy,
False,,quail,2,,all,
False,,quail,2,,dummy,
True,True,sheep,2,ignored,all,
True,True,sheep,2,ipf,dummy,143.0
False,,turkeys,2,,all,
False,,turkeys,2,,dummy,
True,True,cattle,4,ignored,all,
True,True,cattle,4,ipf,beef,9.0
True,True,cattle,4,ipf,milk,35.0
True,True,cattle,4,ipf,other,52.0
False,,chukars,4,,all,
False,,chukars,4,,dummy,
False,,ckn-broilers,4,,all,
