status,county_by_farmsize,deficit,diff,farms_by_size,lambda0,tot_farms,tot_heads
ignored,,,,,,,
gaps,True,222794.0,222820.00000000012,True,612.8076923076923,17071.0,684923.0
gaps,True,1343.0,1368.9999999999998,True,19.77777777777778,92.0,1970.0
no gaps,,,,,,15171.0,527122.0
ignored,,,,,,,
gaps,False,15010.0,15012.0,False,7505.0,4.0,15010.0
ignored,,,,,,,
gaps,False,964444.0,964453.0,False,107160.44444444444,2294.0,216491903.0
ignored,,,,,,,
gaps,False,1367458.0,1367468.0,True,242826.5,4164.0,7588334.0
ignored,,,,,,,
gaps,False,673913.0,673927.0,False,48136.642857142855,790.0,6491110.0
ignored,,,,,,,
gaps,False,45127.0,45142.00000000012,False,3008.4666666666667,1004.0,753783.0
ignored,,,,,,,
gaps,False,404.0,412.0,False,50.5,566.0,17044.0
ignored,,,,,,,
gaps,False,48.0,54.0,False,8.0,18.0,62.0
ignored,,,,,,,
gaps,False,85.0,95.0,False,8.5,159.0,909.0
ignored,,,,,,,
gaps,False,235.0,253.0000000000009,False,13.055555555555557,389.0,5428.0
ignored,,,,,,,
gaps,True,38908.99999999999,38920.99999999999,True,17143.999999999996,924.0,52219.99999999999
ignored,,,,,,,
gaps,False,10.0,14.0,False,2.5,6.0,10.0
ignored,,,,,,,
gaps,False,343.0,357.0,False,24.5,98.0,1256.0
ignored,,,,,,,
gaps,False,13189.0,13200.99999999997,False,1099.0833333333333,34.0,157212.0
ignored,,,,,,,
gaps,False,528.0,534.0,False,88.0,17.0,685.0
ignored,,,,,,,
gaps,False,1077.0,1083.0,False,179.5,24.0,4677.0
ignored,,,,,,,
gaps,False,686371.0,686390.0,False,36124.78947368421,199.0,2426028.0
ignored,,,,,,,
gaps,False,19.0,23.0,False,4.75,5.0,19.0
ignored,,,,,,,
gaps,True,1240.0,1247.0,True,86.0,1008.0,33317.0
ignored,,,,,,,
gaps,False,17230.0,17247.0,False,1013.5294117647059,386.0,19134.0
ignored,,,,,,,
gaps,True,575.0,577.0,True,126.0,112.0,8113.0
no gaps,,,,,,28.0,134.0
gaps,True,752.0,754.0,True,189.0,114.0,8593.0
ignored,,,,,,,
gaps,False,1683.5714285714284,1684.5714285714284,False,1683.5714285714284,1.0,1683.5714285714284
ignored,,,,,,,
gaps,False,287.0,289.0,False,143.5,45.0,4057.0
ignored,,,,,,,
no gaps,,,,,,265.0,10134.0
ignored,,,,,,,
gaps,False,69.0,71.0,False,34.5,45.0,807.0
ignored,,,,,,,
gaps,False,31.0,33.0,False,15.5,46.0,157.0
ignored,,,,,,,
no gaps,,,,,,57.0,571.0
ignored,,,,,,,
no gaps,,,,,,5.0,17.0
ignored,,,,,,,
gaps,False,22.0,25.0,False,7.333333333333334,29.0,202.0
ignored,,,,,,,
gaps,False,61.0,63.0,False,30.5,9.0,126.0
ignored,,,,,,,
gaps,True,306.0,308.0,True,58.0,78.0,1604.0
ignored,,,,,,,
gaps,False,11.0,13.0,False,5.5,2.0,11.0
ignored,,,,,,,
gaps,False,13040.142857142857,13042.142857142857,False,6520.071428571428,2.0,13040.142857142857
ignored,,,,,,,
gaps,False,17335.2,17337.2,False,8667.6,2.0,17335.2
ignored,,,,,,,
gaps,False,381.0,384.0,False,127.0,7.0,381.0
ignored,,,,,,,
gaps,True,648.0,651.0,True,144.0,58.0,1143.0
ignored,,,,,,,
gaps,False,48.0,50.0,False,24.0,58.0,683.0
ignored,,,,,,,
gaps,True,40707.0,40710.0,True,934.0,4730.0,176434.0
gaps,True,96132.0,96136.0,True,21858.5,122.0,199188.0
gaps,True,122229.0,122231.0,True,58710.5,4188.0,622220.0
ignored,,,,,,,
gaps,False,1683.5714285714287,1684.5714285714287,False,1683.5714285714287,2.0,1683.5714285714287
ignored,,,,,,,
gaps,False,143.0,147.0,False,35.75,109.0,3741.0
ignored,,,,,,,
gaps,False,4229722.666666667,4229724.666666667,True,2013091.3333333335,2147.0,4262403.666666667
ignored,,,,,,,
gaps,False,477967.49999999994,477970.5,False,159322.5,577.0,483816.49999999994
ignored,,,,,,,
gaps,False,13.0,15.999999999999773,False,4.333333333333334,679.0,1835.0
ignored,,,,,,,
gaps,False,135.0,139.0,False,33.75,505.0,3852.0
ignored,,,,,,,
gaps,False,25.0,29.0,False,6.25,20.0,97.0
ignored,,,,,,,
gaps,False,24.0,28.0,False,6.0,264.0,1221.0
ignored,,,,,,,
gaps,False,44.0,46.0,False,22.0,128.0,764.0
ignored,,,,,,,
gaps,True,38200.0,38203.0,True,18022.0,541.0,41626.0
ignored,,,,,,,
gaps,False,79.0,81.0,False,39.5,15.0,527.0
ignored,,,,,,,
gaps,False,799.4666666666667,800.4666666666667,False,799.4666666666667,2.0,799.4666666666667
ignored,,,,,,,
no gaps,,,,,,91.0,965.0
ignored,,,,,,,
gaps,False,149.0,152.00000000000006,False,49.66666666666667,14.0,359.0
ignored,,,,,,,
gaps,False,128.0,131.0,False,42.66666666666667,46.0,4203.0
ignored,,,,,,,
gaps,False,1099.6153846153848,1101.6153846153848,False,549.8076923076924,3.0,1099.6153846153848
ignored,,,,,,,
gaps,False,2298.0,2301.0,False,766.0,54.0,3543.0
ignored,,,,,,,
gaps,False,7.0,9.0,False,3.5,10.0,31.0
ignored,,,,,,,
gaps,True,6849.0,6852.0,True,5348.0,7047.0,147195.0
ignored,,,,,,,
gaps,False,13.0,15.999999999999773,False,4.333333333333334,428.0,1884.0
ignored,,,,,,,
gaps,True,370928.0,370953.0,True,614.782608695652,19467.0,882184.0
gaps,True,1626.0,1649.0,True,24.600000000000005,75.0,3809.0
gaps,True,1365.0,1367.0,True,615.0,17994.0,702081.0
ignored,,,,,,,
gaps,False,1683.5714285714287,1685.5714285714287,False,841.7857142857143,11.0,1767.5714285714287
ignored,,,,,,,
gaps,False,1021203.0,1021215.0,False,85100.25,2087.0,205552568.0
ignored,,,,,,,
gaps,False,1396258.0,1396266.0,True,909696.0,4525.0,14421929.0
ignored,,,,,,,
gaps,False,501392.0,501405.0,False,38568.61538461538,704.0,9989619.0
ignored,,,,,,,
gaps,False,24933.0,24939.0,False,4155.5,1122.0,1152750.0
ignored,,,,,,,
gaps,False,197.0,210.0,False,15.153846153846153,609.0,6225.0
ignored,,,,,,,
gaps,False,110.0,117.0,False,15.714285714285715,21.0,158.0
ignored,,,,,,,
gaps,False,247.0,268.0,False,11.761904761904763,180.0,1019.0
ignored,,,,,,,
gaps,False,214.0,224.0,False,21.4,398.0,4782.0
ignored,,,,,,,
gaps,True,38492.0,38510.0,True,7856.75,1053.0,145376.0
ignored,,,,,,,
gaps,False,158.0,176.0,False,8.777777777777779,110.0,657.0
ignored,,,,,,,
gaps,False,13040.142857142857,13045.142857142859,False,2608.0285714285715,19.0,13370.142857142857
ignored,,,,,,,
gaps,False,121.0,126.0,False,24.2,16.0,921.0
