livestock,status,subtype,deficit,diff,farms_by_size,heads_county_by_farmsize,heads_county_totals,heads_state_by_farmsize,lambda0,tot_heads,heads_by_farmsize,county_by_farmsize
cattle,no gaps,all,,,,,,,,,,
cattle,no gaps,beef,,,,,,,,,,
cattle,no gaps,milk,,,,,,,,,,
cattle,no gaps,other,,,,,,,,,,
chukars,ignored,all,,,,,,,,,,
chukars,gaps,dummy,11930.0,11937.0,False,False,True,False,1683.5714285714287,1048883.0,,
ckn-broilers,no gaps,all,,,,,,,,,,
ckn-broilers,no gaps,dummy,,,,,,,,,,
ckn-layers,ignored,all,,,,,,,,,,
ckn-layers,gaps,dummy,12581091.0,12581094.0,True,False,True,False,4047796.6666666665,388509039.0,True,
ckn-pullets,ignored,all,,,,,,,,,,
ckn-pullets,gaps,dummy,4826746.0,4826756.0,False,False,True,False,477967.5,144030599.0,,
ckn-roosters,ignored,all,,,,,,,,,,
ckn-roosters,gaps,dummy,64299.0,64301.0,False,False,True,False,30239.5,7720779.0,,
ducks,ignored,all,,,,,,,,,,
ducks,gaps,dummy,107759.0,107761.0,False,False,True,False,50634.5,4449078.0,,
emus,ignored,all,,,,,,,,,,
emus,gaps,dummy,40.0,42.0,False,False,True,False,20.0,12580.0,,
geese,no gaps,all,,,,,,,,,,
geese,no gaps,dummy,,,,,,,,,,
guineas,no gaps,all,,,,,,,,,,
guineas,no gaps,dummy,,,,,,,,,,
hogs,ignored,all,,,,,,,,,,
hogs,gaps,dummy,171819.0,171823.0,True,False,True,False,35896.0,73817751.0,True,True
ostriches,ignored,all,,,,,,,,,,
ostriches,gaps,dummy,1270.0,1278.0,False,False,True,False,158.75,3523.0,,
partridges,ignored,all,,,,,,,,,,
partridges,gaps,dummy,11992.0,12007.000000000007,False,False,True,False,799.4666666666666,61169.0,,
peafowl,ignored,all,,,,,,,,,,
peafowl,gaps,dummy,104.0,106.0,False,False,True,False,11.0,55053.0,,
pheasants,ignored,all,,,,,,,,,,
pheasants,gaps,dummy,92958.0,92965.0,False,False,True,False,13040.142857142857,3280101.0,,
pigeons,ignored,all,,,,,,,,,,
pigeons,gaps,dummy,90605.0,90610.0,False,False,True,False,17335.2,303169.0,,
poultry-other,ignored,all,,,,,,,,,,
poultry-other,gaps,dummy,14500.0,14513.0,False,False,True,False,1099.6153846153845,84353.0,,
quail,ignored,all,,,,,,,,,,
quail,gaps,dummy,105977.0,105981.0,False,False,True,False,25967.75,9294424.0,,
rheas,ignored,all,,,,,,,,,,
rheas,gaps,dummy,122.0,131.0,False,False,True,False,13.555555555555555,1144.0,,
sheep,no gaps,all,,,,,,,,,,
sheep,no gaps,dummy,,,,,,,,,,
turkeys,ignored,all,,,,,,,,,,
turkeys,gaps,dummy,248151.0,248153.0,False,False,True,False,116546.0,97312583.0,,
