alpha,categories,county,farms,heads,heads_all,livestock,state,subtypes
0.0,7.0,1.0,151.0,14846.0,14847.0,cattle,1,2.0
,,1.0,,,,ckn-broilers,1,
,,1.0,,,,ckn-layers,1,
,,1.0,,,,ckn-pullets,1,
,,1.0,,,,ckn-roosters,1,
,,1.0,,,,ducks,1,
-0.0,1.0,1.0,2.0,48.0,-1.0,hogs,1,1.0
,,1.0,,,,peafowl,1,
,,1.0,,,,quail,1,
0.0,1.0,1.0,5.0,85.0,85.0,sheep,1,1.0
-0.0,7.0,3.0,320.0,20092.0,20092.0,cattle,1,3.0
,,3.0,,,,ckn-broilers,1,
,,3.0,,,,ckn-layers,1,
,,3.0,,,,ckn-pullets,1,
,,3.0,,,,ckn-roosters,1,
,,3.0,,,,ducks,1,
,,3.0,,,,emus,1,
,,3.0,,,,geese,1,
,,3.0,,,,guineas,1,
0.0,2.0,3.0,34.0,178.0,-2.0,hogs,1,1.0
,,3.0,,,,peafowl,1,
,,3.0,,,,pigeons,1,
,,3.0,,,,quail,1,
0.0,2.0,3.0,29.0,475.0,475.0,sheep,1,1.0
,,3.0,,,,turkeys,1,
0.0,7.0,5.0,264.0,27581.0,27451.0,cattle,1,3.0
,,5.0,,,,ckn-broilers,1,
,,5.0,,,,ckn-layers,1,
,,5.0,,,,ckn-pullets,1,
,,5.0,,,,ckn-roosters,1,
,,5.0,,,,ducks,1,
,,5.0,,,,geese,1,
,,5.0,,,,guineas,1,
-0.0,2.0,5.0,12.0,110.0,-2.0,hogs,1,1.0
,,5.0,,,,quail,1,
0.0,2.0,5.0,4.0,389.0,24.0,sheep,1,1.0
,,5.0,,,,turkeys,1,
-0.0,7.0,7.0,74.0,5356.0,4781.0,cattle,1,3.0
,,7.0,,,,ckn-broilers,1,
,,7.0,,,,ckn-layers,1,
,,7.0,,,,ckn-pullets,1,
,,7.0,,,,ckn-roosters,1,
,,7.0,,,,ducks,1,
,,7.0,,,,guineas,1,
0.0,1.0,7.0,12.0,148.0,148.0,hogs,1,1.0
0.0,1.0,7.0,4.0,152.0,152.0,sheep,1,1.0
,,7.0,,,,turkeys,1,
-0.0,7.0,9.0,561.0,31015.0,28704.0,cattle,1,3.0
,,9.0,,,,ckn-broilers,1,
,,9.0,,,,ckn-layers,1,
,,9.0,,,,ckn-pullets,1,
,,9.0,,,,ckn-roosters,1,
,,9.0,,,,ducks,1,
,,9.0,,,,geese,1,
,,9.0,,,,guineas,1,
0.0,1.0,9.0,24.0,117.0,117.0,hogs,1,1.0
,,9.0,,,,peafowl,1,
,,9.0,,,,pheasants,1,
,,9.0,,,,quail,1,
0.0,3.0,9.0,41.0,909.0,579.0,sheep,1,1.0
,,9.0,,,,turkeys,1,
0.0,7.0,11.0,106.0,11649.0,11649.0,cattle,1,2.0
,,11.0,,,,ckn-layers,1,
,,11.0,,,,ckn-roosters,1,
0.0,1.0,11.0,9.0,52.0,52.0,hogs,1,1.0
0.0,1.0,11.0,5.0,44.0,44.0,sheep,1,1.0
,,11.0,,,,turkeys,1,
-0.0,6.0,13.0,190.0,9807.0,9808.0,cattle,1,2.0
,,13.0,,,,ckn-broilers,1,
,,13.0,,,,ckn-layers,1,
,,13.0,,,,ckn-pullets,1,
,,13.0,,,,ckn-roosters,1,
,,13.0,,,,ducks,1,
,,13.0,,,,guineas,1,
0.0,3.0,13.0,10.0,1034.0,8.0,hogs,1,1.0
,,13.0,,,,poultry-other,1,
0.0,2.0,13.0,4.0,43.0,-2.0,sheep,1,1.0
-0.0,7.0,15.0,328.0,13844.0,12478.0,cattle,1,3.0
,,15.0,,,,ckn-broilers,1,
,,15.0,,,,ckn-layers,1,
,,15.0,,,,ckn-pullets,1,
,,15.0,,,,ckn-roosters,1,
,,15.0,,,,ducks,1,
,,15.0,,,,geese,1,
,,15.0,,,,guineas,1,
0.0,3.0,15.0,32.0,330.0,103.0,hogs,1,1.0
,,15.0,,,,pheasants,1,
,,15.0,,,,pigeons,1,
,,15.0,,,,quail,1,
0.0,1.0,15.0,26.0,189.0,189.0,sheep,1,1.0
,,15.0,,,,turkeys,1,
0.0,7.0,17.0,210.0,39209.0,39162.0,cattle,1,3.0
,,17.0,,,,ckn-broilers,1,
,,17.0,,,,ckn-layers,1,
,,17.0,,,,ckn-pullets,1,
,,17.0,,,,ckn-roosters,1,
,,17.0,,,,ducks,1,
,,17.0,,,,geese,1,
,,17.0,,,,guineas,1,
